Name,CRM_Code_Set__c,CRM_Code__c
Oslo,Kommune,301
Eigersund,Kommune,1101
Stavanger,Kommune,1103
Haugesund,Kommune,1106
Sandnes,Kommune,1108
Sokndal,Kommune,1111
Lund,Kommune,1112
Bjerkreim,Kommune,1114
Hå,Kommune,1119
Klepp,Kommune,1120
Time,Kommune,1121
Gjesdal,Kommune,1122
Sola,Kommune,1124
Randaberg,Kommune,1127
Strand,Kommune,1130
Hjelmeland,Kommune,1133
Suldal,Kommune,1134
Sauda,Kommune,1135
Kvitsøy,Kommune,1144
Bokn,Kommune,1145
Tysvær,Kommune,1146
Karmøy,Kommune,1149
Utsira,Kommune,1151
Vindafjord,Kommune,1160
Kristiansund,Kommune,1505
Molde,Kommune,1506
Ålesund,Kommune,1508
Vanylven,Kommune,1511
Sande,Kommune,1514
Herøy,Kommune,1515
Ulstein,Kommune,1516
Hareid,Kommune,1517
Ørsta,Kommune,1520
Stranda,Kommune,1525
Sykkylven,Kommune,1528
Sula,Kommune,1531
Giske,Kommune,1532
Vestnes,Kommune,1535
Rauma,Kommune,1539
Aukra,Kommune,1547
Averøy,Kommune,1554
Gjemnes,Kommune,1557
Tingvoll,Kommune,1560
Sunndal,Kommune,1563
Surnadal,Kommune,1566
Smøla,Kommune,1573
Aure,Kommune,1576
Volda,Kommune,1577
Fjord,Kommune,1578
Hustadvika,Kommune,1579
Haram,Kommune,1580
Bodø,Kommune,1804
Narvik,Kommune,1806
Bindal,Kommune,1811
Sømna,Kommune,1812
Brønnøy,Kommune,1813
Vega,Kommune,1815
Vevelstad,Kommune,1816
Herøy,Kommune,1818
Alstahaug,Kommune,1820
Leirfjord,Kommune,1822
Vefsn,Kommune,1824
Grane,Kommune,1825
Aarborte - Hattfjelldal,Kommune,1826
Dønna,Kommune,1827
Nesna,Kommune,1828
Hemnes,Kommune,1832
Rana,Kommune,1833
Lurøy,Kommune,1834
Træna,Kommune,1835
Rødøy,Kommune,1836
Meløy,Kommune,1837
Gildeskål,Kommune,1838
Beiarn,Kommune,1839
Saltdal,Kommune,1840
Fauske - Fuossko,Kommune,1841
Sørfold,Kommune,1845
Steigen,Kommune,1848
Lødingen,Kommune,1851
Evenes,Kommune,1853
Røst,Kommune,1856
Værøy,Kommune,1857
Flakstad,Kommune,1859
Vestvågøy,Kommune,1860
Vågan,Kommune,1865
Hadsel,Kommune,1866
Bø,Kommune,1867
Øksnes,Kommune,1868
Sortland,Kommune,1870
Andøy,Kommune,1871
Moskenes,Kommune,1874
Hamarøy,Kommune,1875
Halden,Kommune,3101
Moss,Kommune,3103
Sarpsborg,Kommune,3105
Fredrikstad,Kommune,3107
Hvaler,Kommune,3110
Råde,Kommune,3112
Våler,Kommune,3114
Skiptvet,Kommune,3116
Indre Østfold,Kommune,3118
Rakkestad,Kommune,3120
Marker,Kommune,3122
Aremark,Kommune,3124
Bærum,Kommune,3201
Asker,Kommune,3203
Lillestrøm,Kommune,3205
Nordre Follo,Kommune,3207
Ullensaker,Kommune,3209
Nesodden,Kommune,3212
Frogn,Kommune,3214
Vestby,Kommune,3216
Ås,Kommune,3218
Enebakk,Kommune,3220
Lørenskog,Kommune,3222
Rælingen,Kommune,3224
Aurskog-Håland,Kommune,3226
Nes,Kommune,3228
Gjerdrum,Kommune,3230
Nittedal,Kommune,3232
Lunner,Kommune,3234
Jevnaker,Kommune,3236
Nannestad,Kommune,3238
Eidsvoll,Kommune,3240
Hurdal,Kommune,3242
Drammen,Kommune,3301
Kongsberg,Kommune,3303
Ringerike,Kommune,3305
Hole,Kommune,3310
Lier,Kommune,3312
Øvre Eiker,Kommune,3314
Modum,Kommune,3316
Krødsherad,Kommune,3318
Flå,Kommune,3320
Nesbyen,Kommune,3322
Gol,Kommune,3324
Hemsedal,Kommune,3326
Ål,Kommune,3328
Hol,Kommune,3330
Sigdal,Kommune,3332
Flesberg,Kommune,3334
Rollag,Kommune,3336
Nore og Uvdal,Kommune,3338
Kongsvinger,Kommune,3401
Hamar,Kommune,3403
Lillehammer,Kommune,3405
Gjøvik,Kommune,3407
Ringsaker,Kommune,3411
Løten,Kommune,3412
Stange,Kommune,3413
Nord-Odal,Kommune,3414
Sør-Odal,Kommune,3415
Eidskog,Kommune,3416
Grue,Kommune,3417
Åsnes,Kommune,3418
Våler,Kommune,3419
Elverum,Kommune,3420
Trysil,Kommune,3421
Åmot,Kommune,3422
Stor-Elvdal,Kommune,3423
Rendalen,Kommune,3424
Engerdal,Kommune,3425
Tolga,Kommune,3426
Tynset,Kommune,3427
Alvdal,Kommune,3428
Folldal,Kommune,3429
Os,Kommune,3430
Dovre,Kommune,3431
Lesja,Kommune,3432
Skjåk,Kommune,3433
Lom,Kommune,3434
Vågå,Kommune,3435
Nord-Fron,Kommune,3436
Sel,Kommune,3437
Sør-Fron,Kommune,3438
Ringebu,Kommune,3439
Øyer,Kommune,3440
Gausdal,Kommune,3441
Østre Toten,Kommune,3442
Vestre Toten,Kommune,3443
Gran,Kommune,3446
Søndre Land,Kommune,3447
Nordre Land,Kommune,3448
Sør-Aurdal,Kommune,3449
Etnedal,Kommune,3450
Nord-Aurdal,Kommune,3451
Vestre Slidre,Kommune,3452
Øystre Slidre,Kommune,3453
Vang,Kommune,3454
Horten,Kommune,3901
Holmestrand,Kommune,3903
Tønsberg,Kommune,3905
Sandefjord,Kommune,3907
Larvik,Kommune,3909
Færder,Kommune,3911
Porsgrunn,Kommune,4001
Skien,Kommune,4003
Notodden,Kommune,4005
Siljan,Kommune,4010
Bamble,Kommune,4012
Kragerø,Kommune,4014
Drangedal,Kommune,4016
Nome,Kommune,4018
Midt-Telemark,Kommune,4020
Seljord,Kommune,4022
Hjartdal,Kommune,4024
Tinn,Kommune,4026
Kviteseid,Kommune,4028
Nissedal,Kommune,4030
Fyresdal,Kommune,4032
Tokke,Kommune,4034
Vinje,Kommune,4036
Risør,Kommune,4201
Grimstad,Kommune,4202
Arendal,Kommune,4203
Kristiansand,Kommune,4204
Lindesnes,Kommune,4205
Farsund,Kommune,4206
Flekkefjord,Kommune,4207
Gjerstad,Kommune,4211
Vegårshei,Kommune,4212
Tvedestrand,Kommune,4213
Froland,Kommune,4214
Lillesand,Kommune,4215
Birkenes,Kommune,4216
Åmli,Kommune,4217
Iveland,Kommune,4218
Evje og Hornnes,Kommune,4219
Bygland,Kommune,4220
Valle,Kommune,4221
Bykle,Kommune,4222
Vennesla,Kommune,4223
Åseral,Kommune,4224
Lyngdal,Kommune,4225
Hægebostad,Kommune,4226
Kvinesdal,Kommune,4227
Sirdal,Kommune,4228
Bergen,Kommune,4601
Kinn,Kommune,4602
Etne,Kommune,4611
Sveio,Kommune,4612
Bømlo,Kommune,4613
Stord,Kommune,4614
Fitjar,Kommune,4615
Tysnes,Kommune,4616
Kvinnherad,Kommune,4617
Ullensvang,Kommune,4618
Eidfjord,Kommune,4619
Ulvik,Kommune,4620
Voss,Kommune,4621
Kvam,Kommune,4622
Samnanger,Kommune,4623
Bjørnafjorden,Kommune,4624
Austevoll,Kommune,4625
Øygarden,Kommune,4626
Askøy,Kommune,4627
Vaksdal,Kommune,4628
Modalen,Kommune,4629
Osterøy,Kommune,4630
Alver,Kommune,4631
Austrheim,Kommune,4632
Fedje,Kommune,4633
Masfjorden,Kommune,4634
Gulen,Kommune,4635
Solund,Kommune,4636
Hyllestad,Kommune,4637
Høyanger,Kommune,4638
Vik,Kommune,4639
Sogndal,Kommune,4640
Aurland,Kommune,4641
Lærdal,Kommune,4642
Årdal,Kommune,4643
Luster,Kommune,4644
Askvoll,Kommune,4645
Fjaler,Kommune,4646
Sunnfjord,Kommune,4647
Bremanger,Kommune,4648
Stad,Kommune,4649
Gloppen,Kommune,4650
Stryn,Kommune,4651
Trondheim ,Kommune,5001
Steinkjer,Kommune,5006
Namsos,Kommune,5007
Frøya,Kommune,5014
Osen,Kommune,5020
Oppdal,Kommune,5021
Rennebu,Kommune,5022
Røros,Kommune,5025
Holtålen,Kommune,5026
Midtre Gauldal,Kommune,5027
Melhus,Kommune,5028
Skaun,Kommune,5029
Malvik,Kommune,5031
Selbu,Kommune,5032
Tydal,Kommune,5033
Meråker,Kommune,5034
Stjørdal,Kommune,5035
Frosta,Kommune,5036
Levanger,Kommune,5037
Verdal,Kommune,5038
Snåsa,Kommune,5041
Lierne,Kommune,5042
Røyrvik,Kommune,5043
Namsskogan,Kommune,5044
Grong,Kommune,5045
Høylandet,Kommune,5046
Overhalla,Kommune,5047
Flatanger,Kommune,5049
Leka,Kommune,5052
Inderøy,Kommune,5053
Indre Fosen,Kommune,5054
Heim,Kommune,5055
Hitra,Kommune,5056
Ørland,Kommune,5057
Åfjord,Kommune,5058
Orkland,Kommune,5059
Nærøysund,Kommune,5060
Rindal,Kommune,5061
Tromsø,Kommune,5501
Harstad,Kommune,5503
Kvæfjord,Kommune,5510
Tjeldsund - Dielddanuorri,Kommune,5512
Ibestad,Kommune,5514
Gratangen,Kommune,5516
Lavangen,Kommune,5518
Bardu,Kommune,5520
Salangen,Kommune,5522
Målselv,Kommune,5524
Sørreisa,Kommune,5526
Dyrøy,Kommune,5528
Senja,Kommune,5530
Balsfjord,Kommune,5532
Karlsøy,Kommune,5534
Lyngen,Kommune,5536
Storfjord - Omasvuotna - Omasvuono,Kommune,5538
Kåfjord - Kaivuono,Kommune,5540
Skjervøy,Kommune,5542
Nordreisa,Kommune,5544
Kvænangen,Kommune,5546
Alta,Kommune,5601
Hammerfest,Kommune,5603
Sør-Varanger,Kommune,5605
Vadsø,Kommune,5607
Karasjok,Kommune,5610
Guovdageaidnu - Kautokeino,Kommune,5612
Loppa,Kommune,5614
Hasvik,Kommune,5616
Måsøy,Kommune,5618
Nordkapp,Kommune,5620
Porsanger,Kommune,5622
Lebesby,Kommune,5624
Gamvik,Kommune,5626
Deatnu - Tana,Kommune,5628
Berlevåg,Kommune,5630
Båtsfjord,Kommune,5632
Vardø,Kommune,5634
Nesseby,Kommune,5636
